year,province,mcpr_archange,p(1-x),provision_10,u(1-y),utilisation_25
2020,Adamawa,0.28999999,P1,153.35699,U1,10.051
2020,Centre,0.75999999,P1,1030.946,U1,31.365
2020,East,0.85000002,P1,604.10999,U1,44.099998
2020,Far North,0.34,P1,46.700001,U1,11.051
2020,Littoral,0.75,P1,390.02701,U1,35.419998
2020,North,0.34,P1,51.599998,U1,14.766
2020,Northwest,0.69999999,P1,214.151,U1,19.221001
2020,West,0.72000003,P1,837.82098,U1,41.499001
2020,South,0.5,P1,624.94,U1,13.839
2020,Southwest,0.64999998,P1,835.28699,U1,47.444
2020,Cameroon,0.66000003,P1,402.64801,U1,40.625
2021,Adamawa,,0.90P1,138.0213,0.75U1,7.53825
2021,Centre,,0.90P1,927.85138,0.75U1,23.52375
2021,East,,0.90P1,543.69897,0.75U1,33.075001
2021,Far North,,0.90P1,42.029999,0.75U1,8.28825
2021,Littoral,,0.90P1,351.02429,0.75U1,26.565001
2021,North,,0.90P1,46.439999,0.75U1,11.0745
2021,Northwest,,0.90P1,192.7359,0.75U1,14.41575
2021,West,,0.90P1,754.03888,0.75U1,31.12425
2021,South,,0.90P1,562.44598,0.75U1,10.37925
2021,Southwest,,0.90P1,751.7583,0.75U1,35.583
2021,Cameroon,,0.90P1,362.38321,0.75U1,30.46875
2022,Adamawa,,0.90P2,124.21917,0.75U2,5.6536875
2022,Centre,,0.90P2,835.06628,0.75U2,17.642813
2022,East,,0.90P2,489.3291,0.75U2,24.80625
2022,Far North,,0.90P2,37.827,0.75U2,6.2161875
2022,Littoral,,0.90P2,315.92188,0.75U2,19.92375
2022,North,,0.90P2,41.796001,0.75U2,8.3058748
2022,Northwest,,0.90P2,173.46231,0.75U2,10.811812
2022,West,,0.90P2,678.63501,0.75U2,23.343187
2022,South,,0.90P2,506.20139,0.75U2,7.7844377
2022,Southwest,,0.90P2,676.58246,0.75U2,26.68725
2022,Cameroon,,0.90P2,326.14487,0.75U2,22.851563
2023,Adamawa,,0.90P3,111.79726,0.75U3,4.2402658
2023,Centre,,0.90P3,751.55963,0.75U3,13.232109
2023,East,,0.90P3,440.39618,0.75U3,18.604687
2023,Far North,,0.90P3,34.0443,0.75U3,4.6621408
2023,Littoral,,0.90P3,284.32968,0.75U3,14.942813
2023,North,,0.90P3,37.616402,0.75U3,6.2294064
2023,Northwest,,0.90P3,156.11607,0.75U3,8.1088591
2023,West,,0.90P3,610.77148,0.75U3,17.507391
2023,South,,0.90P3,455.58127,0.75U3,5.8383284
