year,province,mcpr_archange,p(1-x),provision_10,u(1-y),utilisation_00
2020,Adamawa,0.28999999,P1,153.35699,U1,10.051
2020,Centre,0.75999999,P1,1030.946,U1,31.365
2020,East,0.85000002,P1,604.10999,U1,44.099998
2020,Far North,0.34,P1,46.700001,U1,11.051
2020,Littoral,0.75,P1,390.02701,U1,35.419998
2020,North,0.34,P1,51.599998,U1,14.766
2020,Northwest,0.69999999,P1,214.151,U1,19.221001
2020,West,0.72000003,P1,837.82098,U1,41.499001
2020,South,0.5,P1,624.94,U1,13.839
2020,Southwest,0.64999998,P1,835.28699,U1,47.444
2020,Cameroon,0.66000003,P1,402.64801,U1,40.625
2021,Adamawa,,0.90P1,138.0213,U1,10.051
2021,Centre,,0.90P1,927.85138,U1,31.365
2021,East,,0.90P1,543.69897,U1,44.099998
2021,Far North,,0.90P1,42.029999,U1,11.051
2021,Littoral,,0.90P1,351.02429,U1,35.419998
2021,North,,0.90P1,46.439999,U1,14.766
2021,Northwest,,0.90P1,192.7359,U1,19.221001
2021,West,,0.90P1,754.03888,U1,41.499001
2021,South,,0.90P1,562.44598,U1,13.839
2021,Southwest,,0.90P1,751.7583,U1,47.444
2021,Cameroon,,0.90P1,362.38321,U1,40.625
2022,Adamawa,,0.90P2,124.21917,U1,10.051
2022,Centre,,0.90P2,835.06628,U1,31.365
2022,East,,0.90P2,489.3291,U1,44.099998
2022,Far North,,0.90P2,37.827,U1,11.051
2022,Littoral,,0.90P2,315.92188,U1,35.419998
2022,North,,0.90P2,41.796001,U1,14.766
2022,Northwest,,0.90P2,173.46231,U1,19.221001
2022,West,,0.90P2,678.63501,U1,41.499001
2022,South,,0.90P2,506.20139,U1,13.839
2022,Southwest,,0.90P2,676.58246,U1,47.444
2022,Cameroon,,0.90P2,326.14487,U1,40.625
2023,Adamawa,,0.90P3,111.79726,U1,10.051
2023,Centre,,0.90P3,751.55963,U1,31.365
2023,East,,0.90P3,440.39618,U1,44.099998
2023,Far North,,0.90P3,34.0443,U1,11.051
2023,Littoral,,0.90P3,284.32968,U1,35.419998
2023,North,,0.90P3,37.616402,U1,14.766
2023,Northwest,,0.90P3,156.11607,U1,19.221001
2023,West,,0.90P3,610.77148,U1,41.499001
2023,South,,0.90P3,455.58127,U1,13.839
2023,Southwest,,0.90P3,608.92419,U1,47.444
2023,Cameroon,,0.90P3,293.5304,U1,40.625
2024,Adamawa,,0.90P4,100.61753,U1,10.051
2024,Centre,,0.90P4,676.40369,U1,31.365
