year,province,mcpr_archange,p(1-x),provision_25,u(1-y),utilisation_05
2028,Littoral,,0.75P8,39.046741,0.95U8,23.498352
2028,North,,0.75P8,5.1658263,0.95U8,9.7960663
2028,Northwest,,0.75P8,21.439281,0.95U8,12.751604
2028,West,,0.75P8,83.876701,0.95U8,27.531284
2028,South,,0.75P8,62.564564,0.95U8,9.1810751
2028,Southwest,,0.75P8,83.623016,0.95U8,31.475319
2028,Cameroon,,0.75P8,40.310265,0.95U8,26.951454
2029,Adamawa,,0.75P9,11.514762,0.95U9,6.3346367
2029,Centre,,0.75P9,77.408257,0.95U9,19.767773
2029,East,,0.75P9,45.359409,0.95U9,27.793999
2029,Far North,,0.75P9,3.5064549,0.95U9,6.9648862
2029,Littoral,,0.75P9,29.285055,0.95U9,22.323435
2029,North,,0.75P9,3.8743699,0.95U9,9.306263
2029,Northwest,,0.75P9,16.07946,0.95U9,12.114024
2029,West,,0.75P9,62.907528,0.95U9,26.15472
2029,South,,0.75P9,46.923424,0.95U9,8.7220221
2029,Southwest,,0.75P9,62.717262,0.95U9,29.901552
2029,Cameroon,,0.75P9,30.232698,0.95U9,25.603882
2030,Adamawa,,0.75P10,8.6360712,0.95U10,6.0179048
2030,Centre,,0.75P10,58.056194,0.95U10,18.779385
2030,East,,0.75P10,34.019558,0.95U10,26.404299
2030,Far North,,0.75P10,2.6298411,0.95U10,6.616642
2030,Littoral,,0.75P10,21.963791,0.95U10,21.207262
2030,North,,0.75P10,2.9057775,0.95U10,8.84095
2030,Northwest,,0.75P10,12.059595,0.95U10,11.508323
2030,West,,0.75P10,47.180645,0.95U10,24.846985
2030,South,,0.75P10,35.19257,0.95U10,8.2859201
2030,Southwest,,0.75P10,47.037949,0.95U10,28.406475
2030,Cameroon,,0.75P10,22.674524,0.95U10,24.323689
