year,province,mcpr_archange,p(1-x),provision_00,u(1-y),utilisation_25
2020,Adamawa,0.28999999,P1,153.35699,U1,10.051
2020,Centre,0.75999999,P1,1030.946,U1,31.365
2020,East,0.85000002,P1,604.10999,U1,44.099998
2020,Far North,0.34,P1,46.700001,U1,11.051
2020,Littoral,0.75,P1,390.02701,U1,35.419998
2020,North,0.34,P1,51.599998,U1,14.766
2020,Northwest,0.69999999,P1,214.151,U1,19.221001
2020,West,0.72000003,P1,837.82098,U1,41.499001
2020,South,0.5,P1,624.94,U1,13.839
2020,Southwest,0.64999998,P1,835.28699,U1,47.444
2020,Cameroon,0.66000003,P1,402.64801,U1,40.625
2021,Adamawa,,P1,153.35699,0.75U1,7.53825
2021,Centre,,P1,1030.946,0.75U1,23.52375
2021,East,,P1,604.10999,0.75U1,33.075001
2021,Far North,,P1,46.700001,0.75U1,8.28825
2021,Littoral,,P1,390.02701,0.75U1,26.565001
2021,North,,P1,51.599998,0.75U1,11.0745
2021,Northwest,,P1,214.151,0.75U1,14.41575
2021,West,,P1,837.82098,0.75U1,31.12425
2021,South,,P1,624.94,0.75U1,10.37925
2021,Southwest,,P1,835.28699,0.75U1,35.583
2021,Cameroon,,P1,402.64801,0.75U1,30.46875
2022,Adamawa,,P1,153.35699,0.75U2,5.6536875
2022,Centre,,P1,1030.946,0.75U2,17.642813
2022,East,,P1,604.10999,0.75U2,24.80625
2022,Far North,,P1,46.700001,0.75U2,6.2161875
2022,Littoral,,P1,390.02701,0.75U2,19.92375
2022,North,,P1,51.599998,0.75U2,8.3058748
2022,Northwest,,P1,214.151,0.75U2,10.811812
2022,West,,P1,837.82098,0.75U2,23.343187
2022,South,,P1,624.94,0.75U2,7.7844377
2022,Southwest,,P1,835.28699,0.75U2,26.68725
2022,Cameroon,,P1,402.64801,0.75U2,22.851563
2023,Adamawa,,P1,153.35699,0.75U3,4.2402658
2023,Centre,,P1,1030.946,0.75U3,13.232109
2023,East,,P1,604.10999,0.75U3,18.604687
2023,Far North,,P1,46.700001,0.75U3,4.6621408
2023,Littoral,,P1,390.02701,0.75U3,14.942813
2023,North,,P1,51.599998,0.75U3,6.2294064
2023,Northwest,,P1,214.151,0.75U3,8.1088591
2023,West,,P1,837.82098,0.75U3,17.507391
2023,South,,P1,624.94,0.75U3,5.8383284
2023,Southwest,,P1,835.28699,0.75U3,20.015438
2023,Cameroon,,P1,402.64801,0.75U3,17.138672
2024,Adamawa,,P1,153.35699,0.75U4,3.1801991
