year,province,mcpr_archange,p(1-x),provision_05,u(1-y),utilisation_00
2020,Adamawa,0.28999999,P1,153.35699,U1,10.051
2020,Centre,0.75999999,P1,1030.946,U1,31.365
2020,East,0.85000002,P1,604.10999,U1,44.099998
2020,Far North,0.34,P1,46.700001,U1,11.051
2020,Littoral,0.75,P1,390.02701,U1,35.419998
2020,North,0.34,P1,51.599998,U1,14.766
2020,Northwest,0.69999999,P1,214.151,U1,19.221001
2020,West,0.72000003,P1,837.82098,U1,41.499001
2020,South,0.5,P1,624.94,U1,13.839
2020,Southwest,0.64999998,P1,835.28699,U1,47.444
2020,Cameroon,0.66000003,P1,402.64801,U1,40.625
2021,Adamawa,,0.95P1,145.68915,U1,10.051
2021,Centre,,0.95P1,979.39868,U1,31.365
2021,East,,0.95P1,573.90448,U1,44.099998
2021,Far North,,0.95P1,44.365002,U1,11.051
2021,Littoral,,0.95P1,370.52563,U1,35.419998
2021,North,,0.95P1,49.02,U1,14.766
2021,Northwest,,0.95P1,203.44345,U1,19.221001
2021,West,,0.95P1,795.92993,U1,41.499001
2021,South,,0.95P1,593.69299,U1,13.839
2021,Southwest,,0.95P1,793.52264,U1,47.444
2021,Cameroon,,0.95P1,382.51559,U1,40.625
2022,Adamawa,,0.95P2,138.40469,U1,10.051
2022,Centre,,0.95P2,930.42877,U1,31.365
2022,East,,0.95P2,545.20929,U1,44.099998
2022,Far North,,0.95P2,42.146751,U1,11.051
2022,Littoral,,0.95P2,351.99936,U1,35.419998
2022,North,,0.95P2,46.569,U1,14.766
2022,Northwest,,0.95P2,193.27127,U1,19.221001
2022,West,,0.95P2,756.13342,U1,41.499001
2022,South,,0.95P2,564.00836,U1,13.839
2022,Southwest,,0.95P2,753.8465,U1,47.444
2022,Cameroon,,0.95P2,363.38983,U1,40.625
2023,Adamawa,,0.95P3,131.48445,U1,10.051
2023,Centre,,0.95P3,883.90735,U1,31.365
2023,East,,0.95P3,517.94879,U1,44.099998
2023,Far North,,0.95P3,40.039413,U1,11.051
2023,Littoral,,0.95P3,334.39941,U1,35.419998
2023,North,,0.95P3,44.240551,U1,14.766
2023,Northwest,,0.95P3,183.60771,U1,19.221001
2023,West,,0.95P3,718.32678,U1,41.499001
2023,South,,0.95P3,535.80792,U1,13.839
2023,Southwest,,0.95P3,716.15417,U1,47.444
2023,Cameroon,,0.95P3,345.22034,U1,40.625
2024,Adamawa,,0.95P4,124.91023,U1,10.051
2024,Centre,,0.95P4,839.71198,U1,31.365
