year,province,mcpr_archange,p(1-x),provision_25,u(1-y),utilisation_00
2020,Adamawa,0.28999999,P1,153.35699,U1,10.051
2020,Centre,0.75999999,P1,1030.946,U1,31.365
2020,East,0.85000002,P1,604.10999,U1,44.099998
2020,Far North,0.34,P1,46.700001,U1,11.051
2020,Littoral,0.75,P1,390.02701,U1,35.419998
2020,North,0.34,P1,51.599998,U1,14.766
2020,Northwest,0.69999999,P1,214.151,U1,19.221001
2020,West,0.72000003,P1,837.82098,U1,41.499001
2020,South,0.5,P1,624.94,U1,13.839
2020,Southwest,0.64999998,P1,835.28699,U1,47.444
2020,Cameroon,0.66000003,P1,402.64801,U1,40.625
2021,Adamawa,,0.75P1,115.01775,U1,10.051
2021,Centre,,0.75P1,773.20947,U1,31.365
2021,East,,0.75P1,453.08249,U1,44.099998
2021,Far North,,0.75P1,35.025002,U1,11.051
2021,Littoral,,0.75P1,292.52026,U1,35.419998
2021,North,,0.75P1,38.700001,U1,14.766
2021,Northwest,,0.75P1,160.61325,U1,19.221001
2021,West,,0.75P1,628.36572,U1,41.499001
2021,South,,0.75P1,468.70499,U1,13.839
2021,Southwest,,0.75P1,626.46527,U1,47.444
2021,Cameroon,,0.75P1,301.98599,U1,40.625
2022,Adamawa,,0.75P2,86.263313,U1,10.051
2022,Centre,,0.75P2,579.9071,U1,31.365
2022,East,,0.75P2,339.81189,U1,44.099998
2022,Far North,,0.75P2,26.268749,U1,11.051
2022,Littoral,,0.75P2,219.39018,U1,35.419998
2022,North,,0.75P2,29.025,U1,14.766
2022,Northwest,,0.75P2,120.45994,U1,19.221001
2022,West,,0.75P2,471.27432,U1,41.499001
2022,South,,0.75P2,351.52875,U1,13.839
2022,Southwest,,0.75P2,469.84894,U1,47.444
2022,Cameroon,,0.75P2,226.4895,U1,40.625
2023,Adamawa,,0.75P3,64.697487,U1,10.051
2023,Centre,,0.75P3,434.93036,U1,31.365
2023,East,,0.75P3,254.8589,U1,44.099998
2023,Far North,,0.75P3,19.701563,U1,11.051
2023,Littoral,,0.75P3,164.54263,U1,35.419998
2023,North,,0.75P3,21.768749,U1,14.766
2023,Northwest,,0.75P3,90.344955,U1,19.221001
2023,West,,0.75P3,353.45575,U1,41.499001
2023,South,,0.75P3,263.64658,U1,13.839
2023,Southwest,,0.75P3,352.38669,U1,47.444
2023,Cameroon,,0.75P3,169.86713,U1,40.625
2024,Adamawa,,0.75P4,48.523113,U1,10.051
2024,Centre,,0.75P4,326.19775,U1,31.365
